Jia Hongsheng	5'11" (1.80 m)	1967	,,
Katarzyna Woźniak	1.74 m (5’8”)	1989	,
Keith Galvin	5f11"		,
Laurens Looije	1.85 m	1973	,
Liza Andriyani	170 cm		, Indonesia
Barry (dog)	Less than		,
Billy Miske	6'	1894	,
Billy Raymond	5'9"	1938	,,
Chava Mond	1.75 m / 5' 9"		,
Devin Neil Oatway	5'7"	1978	, United States
Gabriele Fabris	1.89 cm	1988	,
Ian Brick	5'10''		Kilmoyley,
Jeremy Kench	1.86 m	1984	,
José Alfredo Rodríguez	5 ft 8 in (174 cm)	1989	,,
Ben Fisher	173 cm		,,
Colin Dowdeswell	6'1" (185 cm)		,
Dominic Peters	6 ft 2 in (1.88 m)	1978	,
Glencora Ralph	(2011)	1988	,
Jin Kobayashi	181 cm	1977	,
Joan Llaneras	5 ft 11 in (1.80 m)	1969	,
Akaash Bhatia	5'7	1983	,
Amedeo Amadei	173cm	1921	,
Ana Dabovic	184cm		,
Angus J. Rotanda	6 ft 3 in		,
Antonio Tarver	6 ft 2 188 cm	1968	,
Bennett Joshua Davlin	6' 0"		,
Denis Kadić	180 cm / 5'11"	1983	,
Felipe Orucuta	5 ft 9 in (175 cm)	1985	,,
Fionn Carr	5 ft 11 in (1.8 m)	1985	,
Glyn Davidge	6 ft 2 in	1933	,
Greg van Hest	1.84 m	1973	,
Humberto Tapia	5 ft 9 in (177 cm)	1986	,,
Janice Prishwalko	5'10"		,
John Maher (hurler)	6ft.2in.		,
Josh Miller (rugby league)	1.80 m (5 ft 11 in)		,
Magdalena Kiszczyńska	 	1988	Poland
Marcus Bai	5 ft 11 in (1.80 m)	1972	,
Alan Reeves (footballer)	6'0	1967	,
Allan Bateman	5 ft 9 in (1.77 m)	1965	,
Andy Peake (footballer)	5ft 10"		,
Denis Matsukevich	6'3" (190 cm)	1986	,
Else-Marthe Sørlie Lybekk	1.78 m	1978	,
Evgeny Gradovich	5 ft 8 in (173 cm)	1986	,
Frank Dennhardt	6'2" (188 cm)		,West Germany
Iván Ramírez	6 ft 2 in (189 cm)	1994	,,
Jonathan Edwards (athlete)	183 cm		Windsor, England
Juan Figallo	1.87 m	1988	,
Juan Martínez de Irujo	1,86 m		Ibero,,
Lisa Cross	5' 6''	1978	,,
Adam Malik (tennis)	6'4" (193 cm)		,, Malaysia
Bob Snedden	1.78 m (5 ft 10 in)	1867	,,
Emanuela de Paula	5'9.3"; 176cm		,,
Gee Atherton	185nbsp;cm	1985	,
Guy Starik	5' 11" (180 cm)		, Israel
Hans Mortier	5'11"		Leiden, South Holland, Netherlands
Harry Jarman	6 ft		,
Kenan İmirzalıoğlu	1.93 m	1974	Üçem, Balâ,,
Ma Lin (table tennis)	173 cm		,,
Marc Bannerman	6' 2"	1973	,
Anja Tepeš	1.70 m		,,
Christian Olsson	1.92 m (6 ft 3½ in)	1980	,
Chucho Castillo	5 ft 8 in (173 cm)	1944	Nuevo Valle de Moreno,
David Abrard	6'2" (187 cm)	1976	,
Gillian Taylforth	5ft 7inch	1955	,
James Down	1.96 m	1987	,
Jana Gantnerová	165 cm	1989	,
Jean Robic	1.61m		,
Joy Ali	5 ft. 9½ in. (177 cm)		,
Kataxenna Kova	5'8" / 173cm	1985	,
Louise Bager Due	1.83m	1982	,
Makeba Alcide	175cm		,
Marcos Reyes	6 ft 2 in (189 cm)	1987	,
Adam Myerson	5' 10"	1972	, United States of America
Aimar Olaizola	1,83 m		,
CJ de Mooi	6'0"		,
Catherine Fulop	5' 9" (1.75)	1965	,
Geoff Huegill	188cm (6ft 2in)		,,
Heiner Moraing	6'3" (190 cm)	1964	, West Germany
Jack Whitfield	5 ft 11 in	1892	,
James Alexandrou	1.91 metres	1985	,,
Jane Tregunno	1.85m	1962	,,.
Josh Strauss	/nowiki]		,
Juan Hernández (boxer born 1987)	5 ft 8 in (174 cm)	1987	,,
Lee Asher	5'7		,,Born July 1976
Charlie Seeling	183 cm	1883	,
Craig Leahy	6 2	1989	,
Francisco Rodriguez (boxer, born 1984)	5 ft 5 in (170 cm)	June 15, 1984	,
Glyn Davies (rugby player)	5 ft 9 in	1927	,
Hervé Guy	169 m	1984	,
Horst Tappert	1.87m	1923	, Germany
Jack Marshman	6 ft 0 in (1.83 m)		,
Jenni Dahlman	178 cm	1981	,
Kylie Bisutti	5'10"		,
Alfred, Duke of Saxe-Coburg and Gotha	200	1844	,
Andrés Schneiter	N/A	1976	Buenos Aires, Argentina
Brian Hooper	5'9" (175 cm)	1953	,
Britta Andersen	1.68 m		Aarhus
Elena Hight	(2010)	1989	,
Frank Luck	179 cm	1967	,
Frank Mills (rugby union)	6 ft		,
Henry Lundy	5-foot-8 (173 cm)	1984	Philadelphia, Pennsylvania
Joanna Horodyńska	176cm	1975	,
John McEnroe	5 ft 11 in (180 cm)		,
Jolo Revilla	5 ft 8 in (1.73 m)		,
Kate Elson	5'10"; 178 cm		,, England
Kenny Watson (footballer)	6'ft		,
Komba Yomba	6 ft 3 in (1.90 km)	1976	,
Marc Nelson (actor)	5′11″		,
Al Perez	6 ft 1 in (1.85 m)	1960	,
Angel Gimenez	5'4" (163 cm)		, Spain
Anne-Gaëlle Sidot	5'7 3/4 (1.72m)	1979	Enghien-les-Bains, France
Kristina Vaculik	149cm		,
Luis Nery	192 cm		,,
Akifumi Shimoda	171cm	1984	,
Carly Wilson	160		, Australia
Charles Wegelius	1.80m	1978	,
David O'Sullivan (hurler)	6"1ft		,
David Wallace (rugby union)	6 ft 2 in (1.88 m)		,
Fabio Lanzoni	6' 3"	1961	,
George Eads	5' 11" (1.80 m)		,
Henrik Sundström	6'2" (188 cm)		,
Jaymon Crabb	6' (183 cm)		, Australia
Julie Newmar	5'10" (1.80 m)		, U.S.
Kento Kaku	1.78 m	1989	, Japan
Abhinav Bindra	()		, Uttarakhand
Agustín Creevy	)		,
Alfonso Zamora	5 ft 7 in (168 cm)	1954	,,
Andrea Matthies	174 cm	1987	,,
Andrew Blowers	6 ft 4 in (1.93 m)	1975	, New Zealand
Brigitte Ardossi	160		Williamstown, VIC
David Storl	1.99 m (6 ft 6½ in)	1990	,
Dennis McCoy	1.72m (5'8")	1966	, United States of America
Frank Harper	6 ft 0 (1.83m)		,,,
Julia Dunstall	5'10	1985	Gunn, Alberta, Canada
Kevin Sorrell	5 ft 11 ins (1.80 m)	1977	,,
Krissy Taylor	6'	1978	, USA
Lonnie Smith (boxer)	5 ft 8 in (170 cm)	1962	, USA
Angelica Barcelo	5'1"	1996	,
Aurélie Claudel	5'8.5" ; 174 cm	1980	,
Billy Trew	173 cm	1878	,
Cristian Adolfo González	1.83 meters	1981	,
Errol Flynn	6'2"	1909	,
Frederic Vitoux (tennis)	5'8" (173 cm)		, France
Fredrik Bergh	6'4" (193 cm)		, Sweden
George Groves (boxer)	5 ft 11½ in (1.82 m)	1988	,,
Katherine Grainger	182cm	1975	,
Larisa Yurkiw	171 cm (5’7")		,
Agyness Deyn	5'8" (1.73nbsp;m)		,, England, UK
Arlene Tur	5'10"		Miami, Florida, USA
František Huf	174 cm		,
Graciliano Ramos	1.75 m	1892	,,
Jahid Hasan Ameli	168 cm	1987	,
Jim Thurman	6'	1935	,,
Joe North	unknown		,
Juan Carlos Salgado	5 ft 10 in (180 cm)	1984	,,
Juan Pablo López	5 ft 11 in (182 cm)	1989	,,
Anouck Lepere	5'8.5" ; 174cm		,.
Barry Jones (boxer)	170cm	1974	,
Bram Som	1.78 m	1980	,
Bruno Marques Menezes	5'10" / 1.77 m	1984	,
Carlos Velarde	5 ft 8 in (174 cm)	1990	,
Francesco Aldi	5'9" (175 cm)	1981	,
Hatsune Matsushima	158cm	1987	,
Hayden Roulston	6'1" (1.86 M)		,
Jehoida Hodges	5 ft 9 in	1876	,,
John Te Reo	5 ft 11 ins (1.82 m)		,
Malcolm Kirk	1.86 m		,,
Bobby Lynn Bryant	5 ft 11 in (181 cm)	1992	,
Eric Grothe, Jr.	189 cm (6 ft 2 in)		,,
Eriko Tamura	5'4"	1973	,
Francisco Arce Armenta	5 ft 9 in (177 cm)	1981	,
Gary Tavars	1.78cm	1984	,
Hans Gude	41.5		,
Jim Williams (rugby union)	193 cm		,
Johan Nyström (swimmer)	5'11" (181 cm)		,
Jorja Fox	5'9" (1.75 m)		,,
José Luis Zertuche	5 ft 10 in (180 cm)	1973	,
Kingsley Jones (Welsh rugby union flanker)	6 feet	1969	,
Kunal Verma	5'11"		Mumbai, India
Alex Perelson	5 ft. 5 in.	1990	,
Asai Chū	69.6	1856	,
David de Miguel	5'9" (175 cm)		, Spain
Diosbelys Hurtado	5′ 11½″ / 182cm	1972	,
Goran Rubil	1.73m		,
Joe Hanks	6 ft 4 in (193 cm)	1983	,
Keith Smith (rugby)	6"3'		,,
Andrew Conway	1.73 m (5 ft 10 in)	1991	Ireland
Chris Nelson (wrestler)	6 ft 0 in (181 cm)	1974	Winter Haven, Florida
Cruz Antonio Flores	6 ft 1 in (185 cm)	1990	,
César Soto	5 ft 7 in (171 cm)	1971	,
Daniel Navarrete	188 cm	1977	,
Dimitri Kirilov	5 ft. 4 in. (162 cm.)	1978	,
Edgardo Leyva Escandón	5’ 11"	1969	,,
Fredrik Ohlander	200 cm.		,
Jakov Fak	185 cm		,
Jelle Vanendert	1.84nbsp;m		,
John Bylsma	6ft 2½ in		,
Juan Alberto Rosas	5 ft 8 in (174 cm)	1984	,,
Marco Bortolami	6 ft 5 in (1.96 m)	1980	,
Mark Payne	6	1965	,
Abi Titmuss	5ft 5in	1976	,,
Chad Townsend	181 cm		,
Corey Sanders	6'6"	1975	,
Evelio Perez	(5 ft 10 in)	1991	,
Jack Brasington	6'2" (188 cm)	1976	,
John Lloyd (rugby coach)	5 ft 11 in		,
John Prats	5 ft 6 inches	1984	,
Jonathan Linsley	6' 4" (1.93 m)	1956	,,
Julio Goes	5'11" (180 cm)		, Brazil
Kim Dong-moon	185 cm (6'1")	1975	,
Kristian Pless	1.87 m (6 ft 2 in)	1981	, Denmark
Matt Nickell	5'11''	1983	,,
Al Seeger	5'9"	1980	,
Andrew Richardson (tennis)	6'7" (201 cm)		, England
Cristian Mijares	5 ft. 6 in. (167 cm.)	1981	,,
Eddie Robinson (bodybuilder)	5 ft. 8 in.	1964	,
Francisco Roig	175cm (5ft 9in)		Barcelona, Spain
Grant Stafford	188cm	1971	Johannesburg, South Africa
James Honeyben	5 ft 11 in	1986	,
Kamila Filipcikova	1.78		,
Kevin Kim	177 cm (5 ft 10 in)		, U.S.
Lillian Board	5ft 6ins (1.68m)		,
Luciano Leonel Cuello	6 ft 0 in (184 cm)	1984	,,
Akseli Kokkonen	172 cm (5 ft 8 in)	1984	,
Antonio Orozco (boxer)	5 ft 9 in (177 cm)	1987	,,
Beth Cordingly	5'6 (167cm)	1977	,
Charlie David	5' 10" (1.78 m)	1980	,
David Lewis (tennis player)	5'11" (180 cm)	1964	,New Zealand
Ebony Dickinson	N/A	1977	,,
Emma Barton	1.76m (5' 9")		,,
Jocelyn Ho	160 cm	1987	,
Keith Peters (rugby league)	5 ft 10 in (1.78 m)		,
Kevin van Impe	1.88 m		,
Annika Schleu	175cm	1990	, Germany
Anthony Crolla	174cm / 5'8''		,
Bruna Erhardt	5'10" ; 178cm	1988	,,
Elías Larry Ayuso	6'2"	1977	,
Ezio Galon	1.85 m	1977	,
Flavius Băd	182 cm ; 70 kg		,
George Mikell	6 ft	1930	,
Gert Steegmans	1.90 m (6 ft 2 in)		,
Isidro Pérez	5 ft 9 in (177 cm)	1964	,
James Greenhalgh	6' (183 cm)		,
Adriano Panatta	1.83 m (6ft)	1950	Rome, Italy
Aqeel Khan	N/A	1980	, Pakistan
Diego Veronelli	6'4" (193 cm)	1979	, Argentina
Genaro Hernández	5 ft 11 in (180 cm)		Los Angeles, California
Gordana Tomić	1.76 m		,,
José Hernández (tennis)	5 ft. 9 in.		,
Amy Lemons	5'11"; 180 cm		,
Barry Ferguson (Irish footballer)	6ft 3"		,
Bengt Baron	6'4" (193 cm)	1962	,
Felipe Ugalde	5 ft 10 in (178 cm)	1989	,,
Gary Royal	1.80 m		,
Jessica Zelinka	172 cm / 5'8"		,
Josh Morris	182 cm (6 ft 0 in)		, Australia
Leigh Halfpenny	1.78m (5 ft 10 in)	1988	,
Alan Kennedy (hurler)	6ft	1986	,
Aleksandar Stankov	1.82 meter	1991	,
Ben Kersten	1.88m		,
Björn Borg	180 cm (5 ft 11 in)		,,
Danijela Dimitrovska	5'10" (178 cm)	1987	,
Eero Saarinen	100		,
Frank Vaughn	1.77m (5ft 9¾in)	1902	,
Ger O'Driscoll	5 10"	1987	,
Leslie Smith (footballer born 1918)	5ft 8in	1918	, England
Afouène Gharbi	1.75	1980	,
Alan Coomey	1.86cm	25 June 1984	,
Alexa Glatch	1.87 m or 6ft 1in		,
Brad Morrin	1.82 m (6 ft 0 in)		,
Charissa Thompson	5'9"	1982	,
David Nyathi	1.74m (5ft 8¾in)	1969	,
Emilio Benfele Álvarez	182cm (6ft 0in)	1972	, Spain
Gustavo Tiberti	5'9" (175 cm)	1959	, Argentina
Ian Hindmarsh	183 cm (6 ft 0 ins)		,
Karl Filiga	188 cm (6 ft 2 in)	1988	,
Madhu (actor)	180 cm	1933	Gowrishapattom,,.
Maricris Rubio	1.75 m		,
Allison Pineau	1.81 m	1989	,
Bill Davey	6-0	1966	Rochester, NY
Chris Joynt	6 ft 0 in (183 cm)	1971	,, UK
Cristiano Queiroz Jr	6 ft 1.5 in	1992	Sao Paulo, Brazil
César Canchila	5 ft 4 in (163 cm)	1982	,
Demetris Kizas	1.80cm	1954	,
Ernest Fookes	5 ft 8½ in	1874	, New Zealand
Fabio Moli	1,98 mts.(6'6)	1969	,
Francis Joseph Flynn	(age 16)		,,
Hugo Centeno, Jr.	6 ft 2 in (189 cm)	1991	,
Lee Chadwick	N/A		,
Marcio Carlsson	5'9" (175 cm)	1975	, Brazil
Ben Kay	6 ft 6 in (1.98 m)	1975	,
Carla Humphries	5'7"	1988	,
Carles Poch-Gradin	6'1" (185 cm)	1982	,
Chung Kuang-tien	181	1989	(Taiwan)
Denis Lebedev	5nbsp;ftnbsp;11nbsp;in (180nbsp;cm)	1979	,
Erick Elías	185 cm	1980	,,
Evan James (rugby)	5ft. 7ins.		,
Gustavo Napoles	180 cm (5'11")	1973	,,
Helen Wong	5' 9"	1973	,
Jon Goodridge	6 ft 0 in	1981	,
Kieran McGuckin	5'9"	1967	,
M. S. Sundara Rajan	5'10"		Chennai
Angelique Boyer	5'5"		,, France
Bernard Balleret	5'10" (178 cm)		,
Brodie Henderson	6 ft 1 in	1983	,
Chris Michaels	5'10"	1961	,
Davide Sanguinetti	1.87 m		, Italy
Fiona Smith (badminton)	5'5"		Farnborough
Frank Handford	5ft 11inches		,
Gene Farrell	5’7"		Camp,
Giselle Itié	1,73	1981	,
Ian Whitten	6 ft 2 in		,
Ike Ibeabuchi	6 ft 2 in (188 cm)	1973	Isuochi,
Jairo Velasco, Sr.	5'8" (173 cm)		, Colombia
Jethro Tull (agriculturist)	5'10"		, England
Mark Seagraves	6ft		,
Alison Carroll	1.63 m (5'4")	1985	,,
Andreas Küttel	182 cm	1979	,
Andy Hawthorne (racquetball)	5'10"		Clinton, Iowa
Daryl Howland	1.78 m		,
Douglas Hope	1.83m (6ft)	1944	,
Feodor Machnow	7 feet 10 inches (2.39 m)or 2.82 m? (9 feet 3 inches?)		,
Fernando Beltrán, Jr.	5 ft 10 in (180 cm)	1981	,,
Guty Espadas, Jr.	5 ft 11 in (182 cm)	1974	,
Gyoshū Hayami	121 cm	1894	,,
Kim Basinger	5 ft 7.5 in (1.71 m)		,
Leslie Ibsen Rogge	5' 11"		,
Maher Al Sayed	174 cm, 5.8 ft	1979	,
Mario Visconti	6'1" (185 cm)	1968	, Italy
Antonio Lozada, Jr.	5 ft 11 in (182 cm)	1990	,,
Bill Arblaster	unknown		,
Bipana Thapa	5 ft 5 in		,
Boris Arkadyev	1,72	1899	,
Evo Terra	6-0	1968	,,
Francisco León (Mister Venezuela)	190 cm	1981	,
George Briggs (footballer)	5nbsp;ft 6½nbsp;in (1.69nbsp;m)	1903	,,
Greyson Fletcher	5'7	1991	,,
Iain Morrison	6 ft 0 in (1.83nbsp;m)		,
Kevin Moir	6'2" (188 cm)		,South Africa
Laszlo Fekete	1,85 meter		,
Mark Loane	2.00	1954	,
Dirk Dier	6'1" (185 cm)		,
Elias Toufexis	5'10		,
Hans-Kristian Vittinghus	1.80 m	1986	Frederikshavn
John Tomac	5'10" (1.78 m)	1967	Owosso, Michigan, United States
Jon Paul Piques	6'1	1986	,
Krzysztof Gawara	185 cm	1958	,
Abdelbaset al-Megrahi	5 feet 8 inches	1952	,
Adam Williamson	5'10''	1984	,, United States
Carlos Gattiker	5'9" (175 cm)		,Argentina
David Bailey (rugby league)	184 cm	1969	Auckland, New Zealand
David Felgate (tennis)	5'11" (180 cm)		,
Gillian Maguire	5'6"	1991	,
Gábor Balogh	1.87 m	1976	,
Ignacio González King	5'9" (175 cm)	1980	, Argentina
Israel Correa	5 ft 6 in (168 cm)	1974	,
Markus Zillner	5'10" (178 cm)		,
Carlos Infante	178 cm (5'11")	1982	,
Eva Logar	1.69 m		,,
Gordon D'Arcy	5 ft 11 in (1.80 m)		,
Jennifer Dorogi	5' 4" (1.63 m)		,
Li Shanshan	1.45m (4'9")	February 22, 1992	,,
Amy Fadhli	5' 5" (1.65 m)	1966	,,
Anchal Joseph	5 ft 10 in (1.78 m)	1987	,
Damien Fahey	6'2"	1980	,
Debbie Dobbins	5' 7"	1963	,
Donal Kingston	6 ft 3 (1.91)		,
Gardner McKay	6 ft 5 inch (1.96 m)		,, U.S.
Huang Hua (badminton)	171 cm	1969	Guangxi China
Ignacio Coronel Villarreal	5’ 4"	1954	,
Joel Geist	(5nbsp;ft 10nbsp;in)	1982	,,
Kazuto Ioka	165cm	1989	,
Kirani James	6 ft 3 in (1.91 m)	1992	,
Lieja Tunks	1.83 m	1976	,
Anatoli Krikun	190 cm	1948	,
Ivo Werner	5'11" (180 cm)		, Czechoslovakia
Jo Han-sun	187cm	1981	,
Juan Carlos Burgos	5 ft 9 in (175 cm)	1987	,,
Amber Chia	5 ft 8 in (173 cm)		,
Andy Farrell	6 ft 3 in (1.91 m)	1975	,England
Annabel Scholey	5 ft 5 ins		,,
Aziz Mashaan	1.67m (5 ft 5 1/2 in)	1988	,
Canada Lee	5'9"	1907	,,
David Myles (rugby league)	188cm		,
Denis Reidy	6ft 1in		,
Joanna Mitrosz	180 cm	1988	Gdynia
Johan Donar	5'11" (180 cm)		, Sweden
Jorge Cota	6 ft 0 in (183 cm)	1987	,
Kristi Tauti	5'3" (160nbsp;cm)	1979	,,
Laurien Hoos	1.81 m	1983	,
Luiz Antônio	179cm		,
Anastasia Gloushkov	5' 5" (164 cm)	1985	Moscow, Russia
Andy Gray (footballer born 1964)	6ft 2'	1964	,
Angelababy	168 cm		,
Chantal Desjardins	11		,,
Christopher Bowman	5'10" (178 cm)	1967	, U.S.
Eduardo Osta	5'3" (160 cm)		, Spain
Gabriela Zapolska	180	1857	(Podhajce) near,
Guo Jingjing	5'4"	1981	,, China
Ladislav Švarc	6'2" (188 cm)		,
Luca Simeoni	176 cm	1990	,
Machteld Mulder	1.77 m	1989	,
Marcelo Saliola	5'10" (178 cm)		, Brazil
Arnór Atlason	191 cm.		Akureyri, Iceland
Arthur Pauli	174 cm	1989	,
Chacha Cricket	6ft 1in	1949	,,
Christina Moore	5' 6" (1.68 m)	1973	,,
Colin Mathura-Jeffree	6' (1.82cm)		,
Giovanni Caro	5 ft 8 in (182 cm)	1983	,,
Hugo Ruiz	5 ft 10 in (178 cm)	1988	,
Abdul Rasheed Baloch	5’9’’		,
Bob Loudon	6'2"	1903	NZ
Christer Allgardh	6'3" (190 cm)		, Sweden
Dave Scully	5ft 8		,
Edgars Piksons	178	1983	,
Francisco Yunis	6'3" (190 cm)		,Argentina
Gert Smal	6'5"	1961	,
Jonathan Eysseric	1m 81cm	1990	, France
Macgraff Leuluai	1.83m	21	,
Marcos Antonio López	6 ft 5 in (197 cm)	1983	,,
Mark O'Leary (hurler)	6'		Kilruane,
Hassan Saleh	186cm		,
José Alejandro Rodríguez	5 ft 10 in (180 cm)	1988	,
Adam O'Brien	175cm	1993	,
Albert I of Belgium	200	1875	,
Andre Miele	1.74m		Ribeirao Preto, Brazil
Andrea Guardini	1.70 m		Tregnago, Italy
Chiara Costazza	1.72 m	1984	,
Diego Corrales	5′ 10½″ / 179cm		Columbia, South Carolina
Eric Martin (footballer)	5 ft 11 ins	1946	,
Esther McVey	5ft 4.5inches	1967	,,
Freddy Hernández	5 ft 11 in (182 cm)	1979	,,
Hendrik Potgieter	6 ft 2 in	1792	district
Joachim Alcine	5 ft 11 in (182 cm)	1976	,
John Stankevitch	6' 1"	1979	,
Juan A. Baptista	5.10	1976	,
Kit Osbourne	5 ft 7 in (170 cm)		,
Leo Auva'a	1.93 m (6' 4")	1984	,
Andy Kyriacou	5 ft 11 in (1.80 m)	1983	,,
Christie Brinkley	175 cm	1954	, U.S.
Cora Skinner	5 feet 9 in (1.75 m)		,
Daniel Coakley	6'1''	1989	,
David Furner	5 ft 11 in (1.80 m)	1971	,
David Gallop	6' 2" (1.88 m)		Canberra
Dennis Avoth	5ft 10ins	1947	,
Diego del Rio	5'9" (175 cm)	1982	, Argentina
Edith Atkins	less than 5ft	1920	, England, United Kingdom
Frank Marshall (footballer born 1904)	unknown		,
Glenn Weiner	6'2" (188 cm)		,
Hermes Gamonal	5'11" (180 cm)		, Chile
Ian Lacey	165 cm (5 ft 5 in)		,
Johnny Bredahl	5'8 (173 cm)	1968	, Denmark
Lee Mossop	185nbsp;cm	1989	,, England
Mamuka Gorgodze	)	1984	,
Antonio Cárdenas Guillén	6 ft		, Mexico
Bianca Langham-Pritchard	1.78m	1975	,,
Christoph Gruber	1.82 m	1976	,
Doug Bresler	6'2"	1979	Santa Monica, CA
Frankie Campbell	5' 10"		Hibbing, MN
Hiroshi Tamaki	180 cm	1980	, Japan
James Maclurcan	183 cm		Australia
Jeong Jun-ha	186cm	1971	,
Joanne Black	5ft 8in	1974	,
José Medel	5 ft 7 in (170 cm)		,,
Malcolm Thomas (rugby union player)	5 ft 10 in	1929	,
Masahiko Harada	1,73 m		,
Andi Muise	5 ft 9.25 in (176 cm)	1987	,,
Brenton Leister	ft 5 in / 1.77 m	1985	,
Donncha O'Callaghan	6 ft 6 in (1.98 m)	1979	,
John Muldoon (rugby player born 1982)	1.91 m (6 ft 3 in)		,
Juan Santiago	5 ft 11 in (182 cm)	1985	,
Leodegario Santa Cruz	5 ft 8 in (174 cm)	1988	,
Luke Quinlivan	192cm		Perth, Western Australia
Maria Savenkov	5' 7" (171 cm)	1988	, Russia
Alexandra Crandell	5'8" (173 cm)		,
Charan Andreas	6'	1988	Austin, Texas
Dmitry Pirog	6 ft 1 in (185 cm)	1980	,
Gustavo Bolívar	1.82	1985	,
Holly Sweet	173		,
Joice Maduaka	172 cm		,,
Joshua Marquis	5'11"		Los Angeles, CA
Katja Požun	1.70 m		,
Keith Matthews (rugby union)	5 ft 10 in (1.78 m)	1982	,
Ashley Callus	6'2" (188 cm)		Brisbane
Brent Hayden	1.93m	1983	,,.
Chris Murphy (hurler)	6.00ft		,
Kevin Hulsmans	1.87m		,
Maja Vtič	1.64 m		,,
Marcus St Hilaire	5 ft 10 ins (179 cm)		,
Adrían Young	5 ft 9 in (178 cm)	1992	,
Beatriz García Vidagany	5'4"		Valencia, Spain
Bruno Nogueira	6 ft 4 in (1.94 m)	1982	,
Gonzalo Tiesi	6 ft 0 in (1.84 m)	1985	,
Jimmy Hughes (footballer)	6 ' 3		,
John Gope-Fenepej	6ft1	1978	,,
Juan José Haedo	178 cm	1981	,, Argentina
Lara Stone	1.78nbsp;m (5 ft 10 in)		, The Netherlands
Lotte Olsen	169		Nyborg - Denmark
Massimiliano Neri	6' ½"		, Italy
Aaron Hill (actor)	6' 5" (1.96 m)	1983	,
Alejandra Lazcano	1.71cm		,
Alfredo Zuany	6 ft 1 in (192 cm)	1934	,,
Ben Roberts (rugby league)	6 ft 0 in (1.83 m)		,
Bleddyn Taylor	5 ft 11 in	1962	,
Cecilia Santiago	1.74m	1994	,
Elvis Rivas	5'07"	1987	,
Eric Belanger	6' 1" (185 cm)		,,
Gabriel Markus	5'11" (180 cm)		, Argentina
Genaro Fessia	1.88 m		,
George Lindsey	6' 2" (1.88 m)	1928	, U.S.
Imogen Bankier	5 ft 7 in	1987	,
Jeanine Mason	5'4"	1991	,
Jerry Jewell	5'10		McAlester, OK
Julia Timonina	5' 9" (1.75 m)	1984	,,
Kiara Kabukuru	5'8.5" ; 174cm	1975	,
Luke Madill	1.76m		,
Marco Angel Pérez	5 ft 10 in (178 cm)	1977	,,
Adam Walker (rugby league)	195nbsp;cm		,
Adam Yahiye Gadahn	Almost		,
Ebba von Sydow	178 cm	1981	,
Genevievette Walker-Lightfoot	5' 3"		Miami, Fl.
Germán Ohm	5 ft 9 in (177 cm)	1936	,,
Graham Cantwell	6'2"		,
Hannah Buckling	(2011)	1992	Sydney, Australia
Huang Sui	172cm	1982	,
Jasmine Zhang	5'7''		, China
Kelly Ryan	5' 3"	1972	,
Lady Gabriella Windsor	5 ft 11¾ in (182.5 cm)	1981	London
Lornah Kiplagat	1.66 m	1974	,
Ben Steel	195 cm		Melbourne, Australia
Bernardo Alves	1.86 m	1974	,
Carl Frampton	5 ft. 5 in.	1987	,
Chad Knight	5'8"	1970	Sacramento, California
Cliff Beverley	183 cm		New Zealand
Dimitry Ipatov	175,5	1984	,
Fred Hemmes, Jr.	6' (183 cm)		, Netherlands
Heather McPhie	5'3"	1984	, USA
Helena Fuchsová	1.70 m		, Czechoslovakia
Hugo Hernández	5 ft 11 in (182 cm)	1985	,
Ivan Hernández	5 ft 9 in (175 cm)	1982	,,
Jesse Sergent	189cm		,
John Gilchrist (basketball)	191 cm (6 ft 3 in)		,,
Juan Mejía González	5'9"		,
Kaia Parnaby	5'7"		, Australia
Marie Fuema	5'10.5" ; 179cm	1987	,.
Massimo Cierro	5'8" (173 cm)		, Italy
Andrés Mistage	191 cm	1981	,,
Charles E. Courtney	6' 0"		Union Springs, New York
Cibele Dorsa	1.71	1974	,
Craig A. Miller	6'2" (188 cm)		,
Dion O'Cuinneagain	1.93	1972	, South Africa
Dominika Paleta	1,68	1972	,
Don Collier	6'0"		,, USA
Fränzi Aufdenblatten	1.73 m	1981	,
György Cséke	1.95cm		,
Jonathon Prandi	6' (1.83m)	1972	,
Lisa Stublić	(2010)	1984	,
Malik Scott	6 ft 4 in (192 cm)	1980	,
Mark Edmondson (rugby league)	6 ft 2 in (1.90 m)	1979	,,
Mark Kaylor	6' 1/2''	1961	,,
Aamir Ghaffar	6ft 1in	1979	,
Agnete Hegelund	1.76 m (5ft 9.5)	1988	Denmark, Odense
Chen Qi (table tennis)	5'8.5"	1984	,,
Faisal Al-Merqeb	?	1981	?, Saudi Arabia
George Warner	5 ft 11 in	1989	,
Giulian Ilie	5′ 11½″ (181cm)	1977	,
Hannah Teter	5'7"	1987	,
Jonathan Tiernan-Locke	174cm	1984	Plymouth
Jorge Páez, Jr.	5 ft 9 in (178 cm)	1987	,,
Keith O'Neill (footballer)	6ft 1in / 1.85 m	1976	,
Adam Hansen	183cm	1981	South Port, Queensland, Australia
Alexia Sedykh	(2010)	1993	,
Charlton Eagle	5'11" (180 cm)	1963	,South Africa
Dan Parks	5 ft 11 in (1.80 m)		,
Daniella Cicarelli	5'10.5" (179 cm)	1978	,,
Davy Schollen	1.90m (6ft 2¾in)		,
Eduardo Alicea	6 ft 0 in (183 cm)	1990	,
